DATE,UNRATE
2002-01-01,5.70
2002-02-01,5.70
2002-03-01,5.70
2002-04-01,5.90
2002-05-01,5.80
2002-06-01,5.80
2002-07-01,5.80
2002-08-01,5.70
2002-09-01,5.70
2002-10-01,5.70
2002-11-01,5.90
2002-12-01,6.00
2003-01-01,5.80
2003-02-01,5.90
2003-03-01,5.90
2003-04-01,6.00
2003-05-01,6.10
2003-06-01,6.30
2003-07-01,6.20
2003-08-01,6.10
2003-09-01,6.10
2003-10-01,6.00
2003-11-01,5.80
2003-12-01,5.70
2004-01-01,5.70
2004-02-01,5.60
2004-03-01,5.80
2004-04-01,5.60
2004-05-01,5.60
2004-06-01,5.60
2004-07-01,5.50
2004-08-01,5.40
2004-09-01,5.40
2004-10-01,5.50
2004-11-01,5.40
2004-12-01,5.40
2005-01-01,5.30
2005-02-01,5.40
2005-03-01,5.20
2005-04-01,5.20
2005-05-01,5.10
2005-06-01,5.00
2005-07-01,5.00
2005-08-01,4.90
2005-09-01,5.00
2005-10-01,5.00
2005-11-01,5.00
2005-12-01,4.90
2006-01-01,4.70
2006-02-01,4.80
2006-03-01,4.70
2006-04-01,4.70
2006-05-01,4.60
2006-06-01,4.60
2006-07-01,4.70
2006-08-01,4.70
2006-09-01,4.50
2006-10-01,4.40
2006-11-01,4.50
2006-12-01,4.40
2007-01-01,4.60
2007-02-01,4.50
2007-03-01,4.40
2007-04-01,4.50
2007-05-01,4.40
2007-06-01,4.60
2007-07-01,4.70
2007-08-01,4.60
2007-09-01,4.70
2007-10-01,4.70
2007-11-01,4.70
2007-12-01,5.00
2008-01-01,5.00
2008-02-01,4.90
2008-03-01,5.10
2008-04-01,5.00
2008-05-01,5.40
2008-06-01,5.60
2008-07-01,5.80
2008-08-01,6.10
2008-09-01,6.10
2008-10-01,6.50
2008-11-01,6.80
2008-12-01,7.30
2009-01-01,7.80
2009-02-01,8.30
2009-03-01,8.70
2009-04-01,9.00
2009-05-01,9.40
2009-06-01,9.50
2009-07-01,9.50
2009-08-01,9.60
2009-09-01,9.80
2009-10-01,10.00
2009-11-01,9.90
2009-12-01,9.90
2010-01-01,9.80
2010-02-01,9.80
2010-03-01,9.90
2010-04-01,9.90
2010-05-01,9.60
2010-06-01,9.40
2010-07-01,9.40
2010-08-01,9.50
2010-09-01,9.50
2010-10-01,9.40
2010-11-01,9.80
2010-12-01,9.30
2011-01-01,9.10
